education,south,female,workexp,unionmember,wages,age,ethnicity,occupation,sector,married
18,1,0,10,0,5.210000038146973,34,White,Clerical,Other,1
11,0,1,16,0,7,33,Other,Clerical,Other,1
12,1,1,32,0,12.15999984741211,50,Other,Clerical,Other,1
16,1,1,2,0,5.25,24,White,Clerical,Other,0
13,1,1,28,0,10.319999694824219,47,White,Clerical,Other,0
16,0,0,3,0,3.3499999046325684,25,Other,Clerical,Other,0
13,0,1,8,1,7.699999809265137,27,White,Clerical,Other,0
12,0,1,44,0,9.170000076293945,62,White,Clerical,Manufacturing,1
12,1,0,12,0,8.430000305175781,30,White,Clerical,Other,1
12,1,0,8,0,4,26,Other,Clerical,Other,1
12,0,1,4,0,4.130000114440918,22,White,Clerical,Other,1
12,1,1,28,0,3,46,White,Clerical,Other,1
13,1,1,0,0,4.25,19,White,Clerical,Other,0
14,1,0,1,0,7.53000020980835,21,White,Clerical,Other,0
14,0,1,12,0,10.529999732971191,32,White,Clerical,Manufacturing,1
12,0,1,39,0,5,57,White,Clerical,Other,1
12,0,1,24,0,15.029999732971191,42,White,Clerical,Other,1
17,0,1,32,0,11.25,55,Other,Clerical,Other,1
16,0,0,4,0,6.25,26,Other,Clerical,Other,0
12,0,1,25,0,3.5,43,Other,Clerical,Other,0
12,0,0,8,0,6.849999904632568,26,Other,Clerical,Other,0
13,0,1,16,0,12.5,35,White,Clerical,Other,1
12,1,0,5,0,12,23,White,Clerical,Other,0
13,0,0,31,0,6,50,White,Clerical,Other,0
12,0,1,25,0,9.5,43,White,Clerical,Other,0
12,0,1,15,0,4.099999904632568,33,White,Clerical,Other,1
14,1,1,15,0,10.430000305175781,35,White,Clerical,Other,1
12,0,1,0,0,5,18,White,Clerical,Other,0
12,0,0,19,0,7.690000057220459,37,White,Clerical,Other,1
12,0,1,21,0,5.5,39,Other,Clerical,Other,0
12,0,1,6,0,6.400000095367432,24,White,Clerical,Other,0
12,0,1,14,1,12.5,32,White,Clerical,Other,1
13,0,1,30,0,6.25,49,White,Clerical,Other,1
12,0,1,8,0,8,26,White,Clerical,Other,0
9,0,0,33,1,9.600000381469727,48,White,Clerical,Other,0
13,0,0,16,0,9.100000381469727,35,Hispanic,Clerical,Other,0
12,1,1,20,0,7.5,38,White,Clerical,Other,0
13,1,1,6,0,5,25,White,Clerical,Other,1
12,0,1,10,1,7,28,White,Clerical,Other,1
13,1,1,1,0,3.549999952316284,20,White,Clerical,Other,0
12,1,0,2,0,8.5,20,Other,Clerical,Other,0
13,1,1,0,0,4.5,19,White,Clerical,Other,0
16,0,0,17,0,7.880000114440918,39,Other,Clerical,Other,1
12,0,1,8,0,5.25,26,White,Clerical,Other,0
12,1,0,4,0,5,22,White,Clerical,Other,0
12,0,1,15,0,9.329999923706055,33,White,Clerical,Other,0
12,0,1,29,0,10.5,47,White,Clerical,Other,1
12,1,1,23,0,7.5,41,Other,Clerical,Other,1
12,1,1,39,0,9.5,57,White,Clerical,Other,1
12,1,1,14,0,9.600000381469727,32,White,Clerical,Other,1
17,1,1,6,0,5.869999885559082,29,Other,Clerical,Other,0
14,1,0,12,1,11.020000457763672,32,White,Clerical,Other,1
12,1,1,26,0,5,44,White,Clerical,Other,0
14,0,1,32,0,5.619999885559082,52,White,Clerical,Other,1
15,0,1,6,0,12.5,27,White,Clerical,Other,1
12,0,1,40,0,10.8100004196167,58,White,Clerical,Other,1
12,0,1,18,0,5.400000095367432,36,White,Clerical,Manufacturing,1
11,0,1,12,0,7,29,White,Clerical,Other,0
12,1,1,36,0,4.590000152587891,54,White,Clerical,Construction,1
12,0,1,19,0,6,37,White,Clerical,Other,1
16,0,1,42,0,11.710000038146973,64,White,Clerical,Manufacturing,0
13,0,1,2,0,5.619999885559082,21,Hispanic,Clerical,Other,1
12,0,1,33,0,5.5,51,White,Clerical,Other,1
12,1,1,14,0,4.849999904632568,32,White,Clerical,Other,1
12,0,0,22,0,6.75,40,White,Clerical,Other,0
12,0,1,20,0,4.25,38,White,Clerical,Other,1
12,0,1,15,0,5.75,33,White,Clerical,Other,1
12,0,0,35,0,3.5,53,White,Clerical,Other,1
12,0,1,7,0,3.3499999046325684,25,White,Clerical,Other,1
12,0,1,45,0,10.619999885559082,63,White,Clerical,Manufacturing,0
12,0,1,9,0,8,27,White,Clerical,Other,0
12,1,1,2,0,4.75,20,White,Clerical,Other,1
17,1,0,3,0,8.5,26,White,Clerical,Other,0
14,0,1,19,1,8.850000381469727,39,Other,Clerical,Other,1
12,1,1,14,0,8,32,White,Clerical,Other,1
4,0,0,54,0,6,64,White,Service,Other,1
14,0,0,17,0,7.139999866485596,37,White,Service,Other,1
8,0,1,29,0,3.4000000953674316,43,Other,Service,Other,1
15,1,1,26,0,6,47,White,Service,Other,0
2,0,0,16,0,3.75,24,Hispanic,Service,Other,0
8,0,1,29,0,8.890000343322754,43,Other,Service,Other,0
11,0,1,20,0,4.349999904632568,37,White,Service,Other,1
10,1,1,38,0,13.100000381469727,54,Other,Service,Other,1
8,1,1,37,0,4.349999904632568,51,Other,Service,Other,1
9,0,0,48,0,3.5,63,White,Service,Other,0
12,0,1,16,0,3.799999952316284,34,White,Service,Other,0
8,0,1,38,0,5.260000228881836,52,White,Service,Other,1
14,0,0,0,0,3.3499999046325684,20,Other,Service,Other,0
12,0,0,14,1,16.260000228881836,32,Other,Service,Other,0
12,0,1,2,0,4.25,20,White,Service,Other,1
16,0,0,21,0,4.5,43,White,Service,Other,1
13,0,1,15,0,8,34,White,Service,Other,1
16,0,1,20,0,4,42,White,Service,Other,0
14,0,1,12,0,7.960000038146973,32,White,Service,Other,1
12,1,0,7,0,4,25,Hispanic,Service,Other,0
11,0,0,4,0,4.150000095367432,21,White,Service,Other,1
13,1,0,9,0,5.949999809265137,28,White,Service,Other,1
12,1,1,43,0,3.5999999046325684,61,Hispanic,Service,Other,1
10,1,0,19,0,8.75,35,White,Service,Other,0
8,0,1,49,0,3.4000000953674316,63,White,Service,Other,0
12,0,1,38,0,4.28000020980835,56,White,Service,Other,1
12,0,1,13,0,5.349999904632568,31,White,Service,Other,1
12,0,1,14,0,5,32,White,Service,Other,1
12,0,0,20,0,7.650000095367432,38,White,Service,Other,0
12,0,1,7,0,6.940000057220459,25,White,Service,Other,0
12,0,1,9,1,7.5,27,White,Service,Manufacturing,1
12,0,1,6,0,3.5999999046325684,24,White,Service,Other,0
12,1,1,5,0,1.75,23,White,Service,Other,1
13,1,1,1,0,3.450000047683716,20,Other,Service,Other,0
14,0,0,22,1,9.630000114440918,42,White,Service,Other,1
12,0,1,24,0,8.489999771118164,42,White,Service,Other,1
12,0,1,15,1,8.989999771118164,33,White,Service,Other,0
11,1,1,8,0,3.6500000953674316,25,White,Service,Other,1
11,1,1,17,0,3.5,34,White,Service,Other,1
12,1,0,2,0,3.430000066757202,20,Other,Service,Other,0
12,1,0,20,0,5.5,38,White,Service,Other,1
12,0,0,26,1,6.929999828338623,44,White,Service,Other,1
10,1,1,37,0,3.509999990463257,53,Other,Service,Other,1
12,0,1,41,0,3.75,59,White,Service,Other,0
12,0,1,27,0,4.170000076293945,45,White,Service,Other,1
12,0,1,5,1,9.569999694824219,23,White,Service,Other,1
14,0,0,16,0,14.670000076293945,36,Other,Service,Other,1
14,0,1,19,0,12.5,39,White,Service,Other,1
12,0,0,10,0,5.5,28,White,Service,Other,1
13,1,0,1,1,5.150000095367432,20,White,Service,Other,0
12,0,1,43,1,8,61,Other,Service,Other,1
13,0,0,3,0,5.829999923706055,22,Other,Service,Other,0
12,0,1,0,0,3.3499999046325684,18,White,Service,Other,0
12,1,1,26,0,7,44,White,Service,Other,1
10,0,1,25,1,10,41,White,Service,Other,1
12,0,1,15,0,8,33,White,Service,Other,1
14,1,1,10,0,6.880000114440918,30,White,Service,Other,0
11,0,1,45,1,5.550000190734863,62,White,Service,Other,0
11,0,0,3,0,7.5,20,Other,Service,Other,0
8,0,0,47,1,8.930000305175781,61,Hispanic,Service,Other,1
16,0,1,6,0,9,28,Other,Service,Other,1
10,1,1,33,0,3.5,49,White,Service,Other,0
16,0,0,3,0,5.769999980926514,25,White,Service,Manufacturing,0
14,0,0,4,1,25,24,Hispanic,Service,Other,0
14,0,0,34,1,6.849999904632568,54,Other,Service,Other,1
11,1,0,39,0,6.5,56,White,Service,Other,1
12,1,1,17,0,3.75,35,White,Service,Other,1
9,0,0,47,1,3.5,62,White,Service,Other,1
11,0,0,2,0,4.5,19,White,Service,Other,0
13,1,0,0,0,2.009999990463257,19,White,Service,Other,0
14,0,1,24,0,4.170000076293945,44,White,Service,Other,0
12,0,0,25,1,13,43,Other,Service,Other,1
14,0,1,6,0,3.9800000190734863,26,White,Service,Other,0
12,0,1,10,0,7.5,28,White,Service,Other,0
12,0,1,33,0,13.119999885559082,51,Other,Service,Other,1
12,0,0,12,0,4,30,White,Service,Other,0
12,1,1,9,0,3.950000047683716,27,White,Service,Other,1
11,1,0,18,1,13,35,White,Service,Other,1
12,0,0,10,0,9,28,White,Service,Other,1
8,1,1,45,0,4.550000190734863,59,White,Service,Other,0
9,0,1,46,1,9.5,61,White,Service,Other,1
7,1,0,14,0,4.5,27,Hispanic,Service,Other,1
11,0,1,36,0,8.75,53,White,Service,Other,0
13,0,0,34,1,10,53,White,Professional,Construction,1
18,0,0,15,0,18,39,White,Professional,Other,1
17,0,0,31,0,24.979999542236328,54,White,Professional,Manufacturing,1
16,0,1,6,0,12.050000190734863,28,White,Professional,Manufacturing,0
14,1,0,15,0,22,35,White,Professional,Other,1
12,0,0,30,0,8.75,48,White,Professional,Other,1
18,0,0,8,0,22.200000762939453,32,White,Professional,Other,1
18,0,0,5,0,17.25,29,White,Professional,Manufacturing,1
17,0,1,3,1,6,26,White,Professional,Other,0
13,1,0,17,0,8.0600004196167,36,White,Professional,Other,1
16,0,0,5,1,9.239999771118164,27,Other,Professional,Manufacturing,1
14,0,1,10,0,12,30,White,Professional,Other,1
15,0,1,33,0,10.609999656677246,54,White,Professional,Other,0
18,0,0,3,0,5.710000038146973,27,White,Professional,Other,1
16,0,1,0,0,10,18,White,Professional,Other,0
16,1,0,13,0,17.5,35,Other,Professional,Other,1
18,0,0,12,0,15,36,White,Professional,Other,1
16,0,1,6,0,7.78000020980835,28,White,Professional,Other,1
17,0,0,7,0,7.800000190734863,30,White,Professional,Other,1
16,1,0,14,1,10,36,White,Professional,Other,1
17,0,1,5,0,24.979999542236328,28,White,Professional,Other,0
15,1,1,10,0,10.279999732971191,31,White,Professional,Other,1
18,0,1,11,0,15,35,White,Professional,Other,1
17,0,1,24,0,12,47,White,Professional,Other,1
16,0,0,9,0,10.579999923706055,31,White,Professional,Manufacturing,0
18,1,0,12,0,5.849999904632568,36,White,Professional,Other,1
18,0,0,19,0,11.220000267028809,43,White,Professional,Other,1
14,0,1,14,0,8.5600004196167,34,White,Professional,Other,1
16,0,1,17,0,13.890000343322754,39,White,Professional,Manufacturing,0
18,1,0,7,0,5.710000038146973,31,White,Professional,Other,0
18,0,0,7,0,15.789999961853027,31,White,Professional,Other,1
16,0,1,22,0,7.5,44,White,Professional,Other,1
12,0,1,28,0,11.25,46,White,Professional,Other,1
16,0,1,16,0,6.150000095367432,38,White,Professional,Other,0
16,1,0,16,0,13.449999809265137,38,Other,Professional,Other,0
16,0,1,7,0,6.25,29,White,Professional,Other,1
12,0,1,11,0,6.5,29,White,Professional,Other,0
12,0,1,11,0,12,29,White,Professional,Other,1
12,0,1,16,0,8.5,34,White,Professional,Other,0
18,0,0,33,1,8,57,White,Professional,Other,0
12,1,1,21,0,5.75,39,White,Professional,Other,1
16,0,0,4,0,15.729999542236328,26,White,Professional,Manufacturing,1
15,0,0,13,0,9.859999656677246,34,White,Professional,Other,1
18,0,0,14,1,13.510000228881836,38,White,Professional,Other,1
16,0,1,10,0,5.400000095367432,32,White,Professional,Other,1
18,1,0,14,0,6.25,38,White,Professional,Other,1
16,1,0,29,0,5.5,51,White,Professional,Other,1
12,0,0,4,0,5,22,Hispanic,Professional,Other,0
18,0,0,27,0,6.25,51,Other,Professional,Other,1
12,0,0,3,0,5.75,21,White,Professional,Other,1
16,1,0,14,1,20.5,36,White,Professional,Other,1
14,0,0,0,0,5,20,White,Professional,Construction,1
18,0,0,33,0,7,57,White,Professional,Other,1
16,1,0,38,0,18,60,White,Professional,Other,1
18,0,1,18,1,12,42,White,Professional,Other,1
17,0,0,3,0,20.399999618530273,26,White,Professional,Manufacturing,0
18,0,1,40,0,22.200000762939453,64,White,Professional,Other,0
14,0,0,19,0,16.420000076293945,39,White,Professional,Manufacturing,0
14,0,1,4,0,8.630000114440918,24,White,Professional,Other,0
16,0,1,11,0,19.3799991607666,33,White,Professional,Other,1
16,0,1,16,0,14,38,White,Professional,Other,1
14,0,0,22,0,10,42,White,Professional,Other,1
17,0,1,13,1,15.949999809265137,36,White,Professional,Other,0
16,1,1,28,1,20,50,White,Professional,Other,1
16,0,1,10,0,10,32,White,Professional,Other,1
16,1,1,5,0,24.979999542236328,27,White,Professional,Other,0
15,0,0,5,0,11.25,26,White,Professional,Other,0
18,0,1,37,0,22.829999923706055,61,White,Professional,Manufacturing,0
17,0,1,26,1,10.199999809265137,49,White,Professional,Other,1
16,1,1,4,0,10,26,White,Professional,Other,1
18,0,1,31,1,14,55,White,Professional,Other,0
17,0,1,13,1,12.5,36,White,Professional,Other,1
12,0,1,42,0,5.789999961853027,60,White,Professional,Other,1
17,0,0,18,0,24.979999542236328,41,Hispanic,Professional,Other,1
12,0,1,3,0,4.349999904632568,21,White,Professional,Other,1
17,0,1,10,0,11.25,33,White,Professional,Other,0
16,0,1,10,1,6.670000076293945,32,White,Professional,Other,0
16,0,1,17,0,8,39,Hispanic,Professional,Other,1
18,0,0,7,0,18.15999984741211,31,White,Professional,Other,1
16,0,1,14,0,12,36,White,Professional,Other,1
16,0,1,22,1,8.890000343322754,44,White,Professional,Other,1
17,0,1,14,0,9.5,37,White,Professional,Other,1
16,0,0,11,0,13.649999618530273,33,White,Professional,Other,1
18,0,0,23,1,12,47,White,Professional,Other,1
12,0,0,39,1,15,57,White,Professional,Other,1
16,0,0,15,0,12.670000076293945,37,White,Professional,Other,1
14,0,1,15,0,7.380000114440918,35,Hispanic,Professional,Other,0
16,0,0,10,0,15.5600004196167,32,White,Professional,Other,0
12,1,1,25,0,7.449999809265137,43,White,Professional,Other,0
14,0,1,12,0,6.25,32,White,Professional,Other,1
16,1,1,7,0,6.25,29,Hispanic,Professional,Other,1
17,0,0,7,1,9.369999885559082,30,White,Professional,Other,1
16,0,0,17,0,22.5,39,White,Professional,Manufacturing,1
16,0,0,10,1,7.5,32,White,Professional,Other,1
17,1,0,2,0,7,25,White,Professional,Other,1
9,1,1,34,1,5.75,49,Other,Professional,Other,1
15,0,1,11,0,7.670000076293945,32,White,Professional,Other,1
15,0,0,10,0,12.5,31,White,Professional,Other,0
12,1,0,12,0,16,30,White,Professional,Other,1
16,0,1,6,1,11.789999961853027,28,White,Professional,Other,0
18,0,0,5,0,11.359999656677246,29,White,Professional,Other,0
12,0,1,33,0,6.099999904632568,51,Other,Professional,Other,1
17,0,1,25,1,23.25,48,Other,Professional,Other,1
12,1,0,13,1,19.8799991607666,31,White,Professional,Other,1
16,0,0,33,0,15.380000114440918,55,White,Professional,Manufacturing,1
